data\Cropped_final\people\1091_p_crop00_detections.jpg,9
data\Cropped_final\roe_deer\1074_rd_n_crop00_detections.jpg,6
data\Cropped_final\amur_tiger\0918_at_d_w_mother_with_cubs_crop01_detections.jpg,1
data\Cropped_final\brown_bear\1005_brb_d_crop00_detections.jpg,4
data\Cropped_final\birds\0839_b_crop00_detections.jpg,2
data\Cropped_final\amur_leopard\0383_al_d_s_crop00_detections.jpg,0
data\Cropped_final\sika_deer\0226_sd_n_w_crop01_detections.jpg,7
data\Cropped_final\sika_deer\1993_sd_d_w_crop00_detections.jpg,7
data\Cropped_final\people\0435_p_crop01_detections.jpg,9
data\Cropped_final\people\0551_p_crop01_detections.jpg,9
data\Cropped_final\amur_leopard\0145_al_d_w_crop00_detections.jpg,0
data\Cropped_final\black_bear\0621_blb_d_crop00_detections.jpg,3
data\Cropped_final\amur_tiger\0687_at_d_s_crop00_detections.jpg,1
data\Cropped_final\roe_deer\0243_rd_n_crop00_detections.jpg,6
data\Cropped_final\birds\1236_b_crop00_detections.jpg,2
data\Cropped_final\sika_deer\1494_sd_d_s_crop00_detections.jpg,7
data\Cropped_final\roe_deer\0178_rd_d_crop00_detections.jpg,6
data\Cropped_final\wild_boar\0467_wd_n_crop00_detections.jpg,8
data\Cropped_final\black_bear\0436_blb_d_crop00_detections.jpg,3
data\Cropped_final\people\0251_p_crop01_detections.jpg,9
data\Cropped_final\wild_boar\0708_wd_n_crop00_detections.jpg,8
data\Cropped_final\brown_bear\0858_brb_d_mother_with_cubs_crop02_detections.jpg,4
data\Cropped_final\dog\0130_dg_crop00_detections.jpg,5
data\Cropped_final\dog\0312_dg_crop00_detections.jpg,5
data\Cropped_final\black_bear\0639_blb_n_crop00_detections.jpg,3
data\Cropped_final\amur_leopard\0303_al_n_crop00_detections.jpg,0
data\Cropped_final\wild_boar\1414_wd_d_crop00_detections.jpg,8
data\Cropped_final\birds\1263_b_crop00_detections.jpg,2
data\Cropped_final\amur_tiger\1616_at_n_cub_crop00_detections.jpg,1
data\Cropped_final\birds\1449_b_crop00_detections.jpg,2
data\Cropped_final\dog\0251_dg_crop00_detections.jpg,5
data\Cropped_final\roe_deer\0245_rd_n_crop00_detections.jpg,6
data\Cropped_final\black_bear\0218_blb_d_crop00_detections.jpg,3
data\Cropped_final\black_bear\0180_blb_d_crop00_detections.jpg,3
data\Cropped_final\amur_tiger\0690_at_n_crop00_detections.jpg,1
data\Cropped_final\roe_deer\0182_rd_d_crop00_detections.jpg,6
data\Cropped_final\birds\1370_b_crop00_detections.jpg,2
data\Cropped_final\people\0663_p_crop01_detections.jpg,9
data\Cropped_final\dog\0799_dg_crop00_detections.jpg,5
data\Cropped_final\dog\0646_dg_crop00_detections.jpg,5
data\Cropped_final\brown_bear\0525_brb_n_mother_with_cubs_crop01_detections.jpg,4
data\Cropped_final\amur_tiger\1069_at_d_w_crop00_detections.jpg,1
data\Cropped_final\roe_deer\0269_rd_n_crop00_detections.jpg,6
data\Cropped_final\birds\0057_b_crop00_detections.jpg,2
data\Cropped_final\sika_deer\0511_sd_d_w_crop00_detections.jpg,7
data\Cropped_final\amur_leopard\0764_al_d_s_crop00_detections.jpg,0
data\Cropped_final\sika_deer\1192_sd_d_w_crop01_detections.jpg,7
data\Cropped_final\birds\0769_b_crop00_detections.jpg,2
data\Cropped_final\people\0838_p_crop00_detections.jpg,9
data\Cropped_final\amur_tiger\0720_at_n_crop00_detections.jpg,1
data\Cropped_final\roe_deer\0758_rd_n_crop00_detections.jpg,6
data\Cropped_final\dog\0166_dg_crop00_detections.jpg,5
data\Cropped_final\sika_deer\0889_sd_n_s_crop00_detections.jpg,7
data\Cropped_final\amur_leopard\0759_al_n_crop00_detections.jpg,0
data\Cropped_final\dog\0821_dg_crop00_detections.jpg,5
data\Cropped_final\dog\0176_dg_crop00_detections.jpg,5
data\Cropped_final\dog\0547_dg_crop00_detections.jpg,5
data\Cropped_final\amur_tiger\0774_at_d_s_crop00_detections.jpg,1
data\Cropped_final\amur_tiger\0294_at_d_s_crop00_detections.jpg,1
data\Cropped_final\amur_tiger\0564_at_n_crop00_detections.jpg,1
data\Cropped_final\sika_deer\1974_sd_d_s_crop00_detections.jpg,7
data\Cropped_final\wild_boar\1436_wd_d_crop00_detections.jpg,8
data\Cropped_final\birds\1482_b_crop00_detections.jpg,2
data\Cropped_final\black_bear\1016_blb_n_crop00_detections.jpg,3
data\Cropped_final\birds\0681_b_crop00_detections.jpg,2
data\Cropped_final\roe_deer\0152_rd_d_crop00_detections.jpg,6
data\Cropped_final\dog\0165_dg_crop00_detections.jpg,5
data\Cropped_final\brown_bear\0427_brb_d_crop00_detections.jpg,4
data\Cropped_final\people\0264_p_crop01_detections.jpg,9
data\Cropped_final\people\1409_p_crop00_detections.jpg,9
data\Cropped_final\brown_bear\0830_brb_n_mother_with_cubs_crop01_detections.jpg,4
data\Cropped_final\birds\0587_b_crop00_detections.jpg,2
data\Cropped_final\people\0518_p_crop01_detections.jpg,9
data\Cropped_final\amur_tiger\1001_at_d_w_crop00_detections.jpg,1
data\Cropped_final\birds\1282_b_crop00_detections.jpg,2
data\Cropped_final\wild_boar\0854_wd_d_crop00_detections.jpg,8
data\Cropped_final\black_bear\1064_blb_d_crop00_detections.jpg,3
data\Cropped_final\birds\0836_b_crop00_detections.jpg,2
data\Cropped_final\brown_bear\0753_brb_n_crop00_detections.jpg,4
data\Cropped_final\black_bear\0483_blb_d_crop00_detections.jpg,3
data\Cropped_final\amur_leopard\1217_al_n_crop00_detections.jpg,0
data\Cropped_final\black_bear\0459_blb_n_crop01_detections.jpg,3
data\Cropped_final\roe_deer\0051_rd_d_crop00_detections.jpg,6
data\Cropped_final\amur_tiger\0479_at_n_crop00_detections.jpg,1
data\Cropped_final\birds\0798_b_crop00_detections.jpg,2
data\Cropped_final\people\1165_p_crop00_detections.jpg,9
data\Cropped_final\people\0769_p_crop00_detections.jpg,9
data\Cropped_final\people\0142_p_crop00_detections.jpg,9
data\Cropped_final\black_bear\0296_blb_d_crop00_detections.jpg,3
data\Cropped_final\sika_deer\1567_sd_d_w_crop00_detections.jpg,7
data\Cropped_final\birds\1142_b_crop00_detections.jpg,2
data\Cropped_final\birds\0892_b_crop00_detections.jpg,2
data\Cropped_final\amur_tiger\0052_at_n_crop00_detections.jpg,1
data\Cropped_final\people\1288_p_crop00_detections.jpg,9
data\Cropped_final\amur_leopard\0418_al_d_s_crop00_detections.jpg,0
data\Cropped_final\birds\0056_b_crop00_detections.jpg,2
data\Cropped_final\amur_tiger\0746_at_d_w_cubs_crop02_detections.jpg,1
data\Cropped_final\birds\0522_b_crop02_detections.jpg,2
data\Cropped_final\black_bear\0917_blb_d_crop00_detections.jpg,3
data\Cropped_final\dog\0117_dg_crop00_detections.jpg,5
data\Cropped_final\birds\1513_b_crop01_detections.jpg,2
data\Cropped_final\black_bear\0528_blb_d_crop00_detections.jpg,3
data\Cropped_final\roe_deer\1310_rd_n_crop00_detections.jpg,6
data\Cropped_final\roe_deer\0742_rd_d_crop00_detections.jpg,6
data\Cropped_final\wild_boar\0454_wd_n_crop00_detections.jpg,8
data\Cropped_final\wild_boar\1616_wd_d_crop00_detections.jpg,8
data\Cropped_final\roe_deer\0210_rd_n_crop00_detections.jpg,6
data\Cropped_final\people\0518_p_crop00_detections.jpg,9
data\Cropped_final\people\1307_p_crop00_detections.jpg,9
data\Cropped_final\amur_leopard\1205_al_n_crop00_detections.jpg,0
data\Cropped_final\roe_deer\1141_rd_d_crop00_detections.jpg,6
data\Cropped_final\birds\0507_b_crop01_detections.jpg,2
data\Cropped_final\amur_leopard\0094_al_d_w_crop00_detections.jpg,0
data\Cropped_final\roe_deer\0073_rd_d_crop00_detections.jpg,6
data\Cropped_final\birds\0319_b_crop00_detections.jpg,2
data\Cropped_final\roe_deer\0741_rd_n_crop00_detections.jpg,6
data\Cropped_final\amur_leopard\0650_al_n_crop00_detections.jpg,0
data\Cropped_final\sika_deer\1341_sd_d_s_crop04_detections.jpg,7
data\Cropped_final\amur_tiger\0260_at_d_s_crop00_detections.jpg,1
data\Cropped_final\black_bear\0412_blb_n_crop00_detections.jpg,3
data\Cropped_final\wild_boar\0300_wd_d_crop02_detections.jpg,8
data\Cropped_final\dog\0436_dg_crop00_detections.jpg,5
